uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
e8d3b7ca55e0821df8dc8509,阜南县广电局王店有线电视站,文化传媒,广播电视,安徽省,阜阳市,阜南县,阜阳市阜南县南财西路东方明珠学校北侧约250米,,1,0,115.537094,32.800905,18130715877,enterprise,http://api.map.baidu.com/place/detail?uid=e8d3b7ca55e0821df8dc8509&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,115.5370650104,32.800827942726,0
35687c9c426c90080969d954,柴集镇有线电视站,文化传媒,广播电视,安徽省,阜阳市,阜南县,阜阳市阜南县X051阜南县柴集中心卫生院西北侧约130米,,1,0,115.606691,32.818789,,enterprise,http://api.map.baidu.com/place/detail?uid=35687c9c426c90080969d954&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
f38901b179e3fd68a80dd878,有线电视,文化传媒,广播电视,安徽省,阜阳市,颍州区,阜阳市颍州区三胡路颍州区三合镇三合小学东南侧约300米,,1,0,115.727582,32.861196,,enterprise,http://api.map.baidu.com/place/detail?uid=f38901b179e3fd68a80dd878&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
e4f0b6eb4192f8c716c9055e,安徽根脉影视文化传媒有限公司,文化传媒,广播电视,安徽省,阜阳市,颍州区,阜阳市颍州区朝阳大道维也纳酒店(阜阳开发区店)西南侧约290米,e4f0b6eb4192f8c716c9055e,1,0,115.867963,32.850976,18133126123,enterprise,http://api.map.baidu.com/place/detail?uid=e4f0b6eb4192f8c716c9055e&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,115.8677531774,32.851190339595,0
1f16732052db47c27369d3f3,阜阳职业技术学院广播站,文化传媒,广播电视,安徽省,阜阳市,颍州区,安徽省阜阳市颍州区城泉路阜阳职业技术学院,,1,0,115.79573,32.893933,,enterprise,http://api.map.baidu.com/place/detail?uid=1f16732052db47c27369d3f3&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
a8b0bb73d6c5ad7ebb17e7cf,安徽华腾影视传媒有限公司,文化传媒,广播电视,安徽省,阜阳市,颍州区,阜阳市颍州区西湖大道城建翠玉江南北侧,,1,0,115.806779,32.889805,,enterprise,http://api.map.baidu.com/place/detail?uid=a8b0bb73d6c5ad7ebb17e7cf&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
84a6c277cc8c89515e0d020b,安徽星瑟修立影视文化传媒有限公司,文化传媒,广播电视,安徽省,阜阳市,颍州区,阜阳市颍州区西湖大道海丰世纪广场B座,84a6c277cc8c89515e0d020b,1,0,115.81491,32.888266,,enterprise,http://api.map.baidu.com/place/detail?uid=84a6c277cc8c89515e0d020b&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
1656ce16ae89a16b46e27465,阜阳广播电视台,文化传媒,广播电视,安徽省,阜阳市,颍州区,阜阳市颍州区一道河中路58号,1656ce16ae89a16b46e27465,1,1,115.8246,32.886617,(0558)2189911,enterprise,http://api.map.baidu.com/place/detail?uid=1656ce16ae89a16b46e27465&output=html&source=placeapi_v2,,,0.0,,,,,,,,1,,,,,,,115.82483548632,32.887358894665,1
ff01b0cf60ac49b2354aae32,阜阳广电中心,文化传媒,广播电视,安徽省,阜阳市,颍州区,安徽省阜阳市颍州区一道河中路58号,,1,0,115.824724,32.88717,,enterprise,http://api.map.baidu.com/place/detail?uid=ff01b0cf60ac49b2354aae32&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,115.82477821934,32.887158195322,0
a97091833a74a19417c8f64d,文广新局或电视台,文化传媒,广播电视,安徽省,阜阳市,颍州区,安徽省阜阳市颍州区西湖大道阜阳市电视台,a97091833a74a19417c8f64d,1,0,115.824512,32.887207,,enterprise,http://api.map.baidu.com/place/detail?uid=a97091833a74a19417c8f64d&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
df13c45fa595ed3c72455b59,阜阳电视台技术制作中心,文化传媒,广播电视,安徽省,阜阳市,颍州区,安徽省阜阳市颍州区一道河中路58号,df13c45fa595ed3c72455b59,1,0,115.824719,32.88717,,enterprise,http://api.map.baidu.com/place/detail?uid=df13c45fa595ed3c72455b59&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,115.82477772617,32.887156605784,0
dbf30d58f9133dc81f1d1129,大宁影视文化传媒有限责任公司,文化传媒,广播电视,安徽省,阜阳市,颍州区,安徽省阜阳市颍州区淮河路767号万达广场2号公寓21层2116室,dbf30d58f9133dc81f1d1129,1,0,115.828501,32.877747,13811850900,enterprise,http://api.map.baidu.com/place/detail?uid=dbf30d58f9133dc81f1d1129&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,115.8284886415,32.877665399989,0
9fff56a07000343cc51b75b9,民间小调荆现顶博文婚庆影视传媒,文化传媒,广播电视,安徽省,阜阳市,颍州区,阜阳市颍州区清河街道中清路145号,9fff56a07000343cc51b75b9,1,0,115.825363,32.892126,,enterprise,http://api.map.baidu.com/place/detail?uid=9fff56a07000343cc51b75b9&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,115.82543636557,32.892102399867,0
1b89ab64ccdf666d631809ec,新闻联播,文化传媒,广播电视,安徽省,阜阳市,颍州区,安徽省阜阳市颍州区一道河中路58号7楼,1b89ab64ccdf666d631809ec,1,0,115.824599,32.886288,,enterprise,http://api.map.baidu.com/place/detail?uid=1b89ab64ccdf666d631809ec&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
3befecbd0ba41a9c3a04b1cb,国阜易购电商网红直播基地,文化传媒,广播电视,安徽省,阜阳市,颍泉区,阜阳市颍泉区北京中路阜阳国际服装城新楼,,1,0,115.805663,32.93309,,enterprise,http://api.map.baidu.com/place/detail?uid=3befecbd0ba41a9c3a04b1cb&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
d0593108ce81f1c274e5b6b4,有线广播电视,文化传媒,广播电视,安徽省,阜阳市,颍东区,阜阳市颍东区迎春南街阜阳市插花中学东南侧约120米,,1,0,115.96933,33.014961,13855832938,enterprise,http://api.map.baidu.com/place/detail?uid=d0593108ce81f1c274e5b6b4&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,115.96921741805,33.01491271292,0
bb512592c950ca9e08f5eb0f,安徽广播电视台阜阳台,文化传媒,广播电视,安徽省,阜阳市,颍东区,安徽省阜阳市颍东区,,1,0,116.026613,33.024043,,enterprise,http://api.map.baidu.com/place/detail?uid=bb512592c950ca9e08f5eb0f&output=html&source=placeapi_v2,,,5.0,,,,,,,,2,,,,,,,116.02590808911,33.023374528473,0
710b286c7660527a2cb96d3e,阿宝影视文化传媒,文化传媒,广播电视,安徽省,阜阳市,颍泉区,阜阳市颍泉区伍明镇韩庙,710b286c7660527a2cb96d3e,1,0,115.897879,33.09195,15055551674,enterprise,http://api.map.baidu.com/place/detail?uid=710b286c7660527a2cb96d3e&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
710b286c7660527a2cb96d3e,阿宝影视文化传媒,文化传媒,广播电视,安徽省,阜阳市,颍泉区,阜阳市颍泉区伍明镇韩庙,710b286c7660527a2cb96d3e,1,0,115.897879,33.09195,15055551674,enterprise,http://api.map.baidu.com/place/detail?uid=710b286c7660527a2cb96d3e&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
